Authors,Title,Year,Source title,Cited by,Affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Language of Original Document,Document Type,Publication Stage,Source
"Subramanian A., Garg A., Poddar O., Srinivasa S.",Towards semantically aggregating indian open government data from data.gov.in,2017,CEUR Workshop Proceedings,,"International Institute of Information Technology, 26/C, Hosur Rd, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka, 560100, India","Knowledge representation of ""open data"" involves aggregation of disparate information in a semantically meaningful context. This task is challenging as such datasets are arbitrarily structured and fragmented with no overarching contextual framework in which the datasets are uploaded. The utility of such datasets is determined by the ""context"" in which they are presented and the same dataset can be viewed and consumed in various contexts depending on the consumer. We present open data from data.gov.in in 'Many Worlds on a Frame (MWF)' - a framework where knowledge is organized within one or more thematic worlds each of which in turn relate to one another to form the global knowledge frame.",Knowledge aggregation; Linked open data cloud; Open government data; Semantic integration,Global knowledge; Knowledge aggregation; Linked open datum; Open datum; Open government data; Semantic integration; Knowledge representation,,English,Conference Paper,Final,Scopus
"Chen Y., Pardo T.A., Chen S.",Exploring on the role of open government data in emergency management,2017,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),1,"School of Public Administration and Emergency Management, Jinan University, Guangzhou, China; Center for Technology in Government, University at Albany, SUNY, Albany, NY, United States","Analysis of the U.S. government response to Hurricane Katrina in 2005 and Hurricane Sandy in 2012 remind us that inter-governmental and intra-governmental communication plays an important role in effective response to disaster. Hurricane Katrina highlighted the lack of information sharing across levels of government and sectors and showed that such gaps in sharing contribute to slower and uncoordinated response and insufficient deployment of resources. The response to Hurricane Sandy was much more effective because of the lessons learned from Katrina about cross-boundary information sharing but problems still existed. The conclusion that more complex and severe incidents require more coordination and information sharing across levels of government and functional agencies makes it increasingly important to increase information sharing capability as part of EM. This paper presents the argument that the unique and important opportunity of leveraging OGD in this regard requires continued attention and investment in ways that maximize value in the form of more effective and efficient emergency response efforts. © 2017, IFIP International Federation for Information Processing.",Emergency management; LEHD program; Open Government Data,Civil defense; Coordination reactions; Disasters; Government data processing; Hurricanes; Information analysis; Information dissemination; Risk management; Boundary information; Emergency management; Emergency response; Government response; Governmental communication; Information sharing; LEHD program; Open Government Data; Emergency services,"Pardo, T.A.; Center for Technology in Government, United States; email: tpardo@ctg.albany.edu",English,Conference Paper,Final,Scopus
"Mishra A., Misra D.P., Kar A.K., Babbar S., Biswas S.",Assessment of open government data initiative - A perception driven approach,2017,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),6,"National Informatics Centre, Delhi, New Delhi, India; DMS, Indian Institute of Technology, Delhii, New Delh, India; Open Government Data Project, Delhii, New Delh, India","Evolution of Information and Communications Technologies (ICT) and digital governance became the key enablers for open data initiative of the government to become more open, responsive, inclusive, transparent, accountable and efficient. Through the e-governance initiatives governments worldwide are focusing on the concept of open data and its huge potential to bring positive changes to the socio-economic value by developing and disseminating information within a vibrant mixed economy comprising of open source, government bodies, business houses, and hybrid solutions of various forms fueled with the sharp elevation of digitization. This study demonstrates assessment of open government data initiatives by the geometric mean method (GMM) of analytical hierarchy process (AHP). Few key factors i.e. people, technology scope, policy, economic and institution were identified which have a very strong impact for any e-governance initiative. © IFIP International Federation for Information Processing 2017.",Analytic hierarchy process; E-governance; Feature prioritization; Impact assessment; Open data,Analytic hierarchy process; Economics; Electronic commerce; Information dissemination; Smart city; Analytical Hierarchy Process; E-governance; Geometric mean method; Impact assessments; Information and communications technology; Open datum; Positive changes; Prioritization; Government data processing,"Biswas, S.; Open Government Data ProjectIndia; email: shubhadip.biswas@live.com",English,Conference Paper,Final,Scopus
"Yen H.-Y., Li C.",Differences in walkability influence residents' hypertension in Taiwan: An analysis of open government data,2017,International Journal of Electronic Commerce Studies,,"National Taiwan Normal University, No.162, Sec. 1, Heping E. Rd., Da'an Dist., Taipei City, 10610, Taiwan","Non-communicable diseases have become a serious problem worldwide. Disease prevention focuses on modifiable behavioral and environmental features. Walkable or pedestrian-friendly neighborhoods increase residents' physical activity and decrease the risk and mortality of non-communicable diseases. We examined walkability and the distribution of the rate of outpatients with hypertension in each administrative region in Taiwan and analyzed whether differences in walkability affect the rate of outpatients with hypertension. All data were retrieved from open government data in Taiwan and analyzed using ANOVA and the National Geographic Information System. Regions were divided into four levels, according to the standard deviation of the walkability index. There were significant regional differences in the number of outpatients with hypertension. Regions with the most walkability presented the lowest incidence of outpatients with hypertension, significantly less than incidence in the third and the least walkable regions. Thus, the lack of walkable neighborhoods is an important risk factor for hypertension. Walkable neighborhoods should be considered in urban planning and sport-and health-related policies to promote residents' well-being. © 2017 Academy of Taiwan Information Systems Research. All rights reserved.",Chronic Diseases; Health Promotion; Physical Activity; Prevention; Urban Planning,data set; disease; disease control; hypertension; mortality; neighborhood; noncommunicable disease; physical activity; public health; risk factor; urban planning; Taiwan,,English,Review,Final,Scopus
"Safarov I., Meijer A., Grimmelikhuijsen S.","Utilization of open government data: A systematic literature review of types, conditions, effects and users",2017,Information Polity,77,"Utrecht School of Governance, Utrecht University, Bijlhouwerstraat 6, Utrecht, ZC  3511, Netherlands","This paper presents a comprehensive overview of the literature on the types, effects, conditions and user of Open Government Data (OGD). The review analyses 101 academic studies about OGD which discuss at least one of the four factors of OGD utilization: the different types of utilization, the effects of utilization, the key conditions, and the different users. Our analysis shows that the majority of studies focus on the OGD provisions while assuming, but not empirically testing, various forms of utilization. The paper synthesizes the hypothesized relations in a multi-dimensional framework of OGD utilization. Based on the framework we suggest four future directions for research: 1) investigate the link between type of utilization and type of users (e.g. journalists, citizens) 2) investigate the link between type of user and type of effect (e.g. societal, economic and good governance benefits) 3) investigate the conditions that moderate OGD effects (e.g. policy, data quality) and 4) establishing a causal link between utilization and OGD outcomes. © 2017-IOS Press and the authors. All rights reserved.",,,"Safarov, I.; Utrecht School of Governance, Bijlhouwerstraat 6, Netherlands; email: i.safarov@uu.nl",English,Article,Final,Scopus
"Hartog M., Mulder B.",Accountable and responsible disclosure of financial open government data: Open spending initiatives enhancing civic engagement,2017,"Proceedings of the International Conference on ICT, Society and Human Beings 2017 - Part of the Multi Conference on Computer Science and Information Systems 2017",2,"Society Institute of the Hague University of Applied Sciences, Johanna Westerdijkplein 75, The Hague, 2521 EN, Netherlands","This research focuses an optimal arrangement of open spending as added instrumental value to the accountability in communicating financial information towards citizens within The Netherlands. Open Spending is more and more of relevance in the Netherlands and is addressed as one of the key action points in the Open Government Partnership Action plan of The Netherlands. In order to adequately communicate financial information towards citizens, 5 arrangement variables of accountability (transparency, liability, verifiability, responsibility and responsiveness) as defined by Jonathan Koppell where explored and extended with the notion of social accountability. As social accountability mechanisms are geared towards public expenditure management processes - mechanisms that seek to directly involve ordinary citizens in processes of allocating, disbursing, monitoring and evaluating the use of public resources - have proved very effective since it is this resource flow that puts policy into action. From a viewpoint of the 'Civic Engagement Model' created by The World Bank, we reflected on the current formats of accountability in a focus group with six key actors from amongst others Dutch Ministries, Open State Foundation, Provinces and Municipalities and verified afterwards with delegates of the Open Knowledge Foundation. After empirical analyses current initiatives surrounding open spending within The Netherlands are lacking a clear goal, content and format and an adequate completion on a National level. This research also showed a twofold goal for further open spending developments, on one hand generating social accountability, civic engagement and clarifying financial Open Government Data by providing contextualised information. © 2017.",Accountability; Civic engagement; Government finances; OGD; Open Spending; Transparency,Transparency; Accountability; Civic engagement; Financial information; Government partnership; Management process; Open Spending; Optimal arrangement; Public expenditures; Finance,,English,Conference Paper,Final,Scopus
Saxena S.,Prospects of open government data (OGD) in facilitating the economic diversification of GCC region,2017,Information and Learning Science,7,"Department of Political Science, Central University of Haryana, Mahendragarh, India; Siraj Quryat Trading and Contracting LLC., Muscat, Oman","Purpose: As the ongoing oil prices’ crisis is emerging as a major cause of concern for the Gulf Cooperation Council (GCC) region, the constituent governments are attempting at undertaking measures of economic diversification to attain long-term sustainability. The author posits that open government data (OGD) has a significant role to play in facilitating the economic turnaround of the GCC region, given that OGD promotes innovation and economic growth besides providing avenues for collaboration and participation among different stakeholders. Design/methodology/approach: Following a structured literature review, the paper scans literature on OGD followed by providing a typology of countries on the basis of their OGD-adherence (“laggard”, “caged”, “forerunner” and “champ”). This is followed by a discussion on the ongoing oil prices’ crisis, and evidentiary support is lent by examples from the OGD portals of each of the six GCC countries (Bahrain, Kuwait, Oman, Qatar, Saudi Arabia and United Arab Emirates) to provide indicators as to how a robust OGD implementation may support their economic diversification objectives. Findings: Although the present OGD framework of the GCC is relatively weak, it is asserted that OGD has immense potential in facilitating the economic diversification initiatives of the GCC countries. Therefore, the GCC needs to strategize upon institutionalization of their OGD initiatives for realizing their “vision” and goals of economic diversification to result in an economic turnaround effectively. Originality/value: Besides providing a typology of countries as OGD-adherents and categorizing GCC as “forerunner(s)” on the basis of the typology, the originality of the study lies in its attempt to answer the research question: “what is the role of the OGD in facilitating the economic diversification of the GCC?” Conceding that the research on OGD in the GCC context is few and far between, the present study is a significant contribution to the extant literature pertaining to the roll-out of OGD in developing countries. © 2017, © Emerald Publishing Limited.",Bahrain; Caged; Economic diversification; Forerunner; GCC; Kuwait; Laggard; OGD; Oil prices; Open data; Systematic literature review; Typology,,"Saxena, S.; Department of Political Science, India; email: stuti.razia@gmail.com",English,Article,Final,Scopus
Wang D.,An evaluation model for assessing open government data in China,2017,"ISSI 2017 - 16th International Conference on Scientometrics and Informetrics, Conference Proceedings",,"School of Information Management, Wuhan University, Wuhan, Hubei Province, China",[No abstract available],,,"Wang, D.; School of Information Management, China; email: perditawd@gmail.com",English,Conference Paper,Final,Scopus
"Ferraro R.G., Catapan A., Vicentin I.C.",Costs and benefits on opening government data of city councils [Custos e benefícios na abertura de dados governamentais de legislativos municipais],2017,Espacios,,"Universidade Tecnológica Federal do Paraná, Brazil","An exploratory and bibliographic study about open government data costs and benefits, looking for knowledge about methods and techniques to verify the feasibility of its application on city councils. Few studies about the subject were found, most of them from north Europe. It was verified a big lack of records to measure costs and benefits on open government data deployment, and so the misunderstanding of product to benefit. It concludes that this theme has absence of solid studies and good practices when talking about costs and benefits. In addition, with the data available it was not possible declare the costs and benefits on open government data deployment at city councils. © 2017.",Benefit; City council; Cost; Open data; Open government data,,,Portuguese,Article,Final,Scopus
"Alexopoulos C., Diamantopoulou V., Charalabidis Y.",Tracking the evolution of OGD portals: A maturity model,2017,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),3,"University of the Aegean, Samos, Greece; University of Brighton, Brighton, United Kingdom","Since its inception, open government data (OGD) as a free re-useable object has attracted the interest of researchers and practitioners, civil servants, citizens and businesses for different reasons in each target group. This study was designed to aggregate the research outcomes and developments through the recent years towards illustrating the evolutionary path of OGD portals, by presenting an analysis of their characteristics in terms of a maturity model. A four-step methodology has been followed in order to analyse the literature and construct the maturity model. The results point out the two greater dimensions of OGD portals, naming traditional and advanced evolving within three generations. The developed maturity model will guide policy makers by firstly identify the current level of their organisation and secondly design an efficient implementation to the required state. © 2017, IFIP International Federation for Information Processing.",Maturity model; Open government data; Semantic Web,Artificial intelligence; Computer science; Computers; Semantic Web; Civil servants; Current levels; Efficient implementation; Evolutionary path; Maturity model; Open government data; Research outcome; Three generations; Government data processing,"Alexopoulos, C.; University of the AegeanGreece; email: alexop@aegean.gr",English,Conference Paper,Final,Scopus
"Shi L., Sukhobok D., Nikolov N., Roman D.",Norwegian State of estate report as linked open data,2017,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),4,"Statsbygg, Pb. 8106 Dep, Oslo, 0032, Norway; SINTEF, Pb. 124 Blindern, Oslo, 0314, Norway","This paper presents the Norwegian State of Estate (SoE) dataset containing data about real estates owned by the central government in Norway. The dataset is produced by integrating cross-domain government datasets including data from sources such as the Norwegian business entity register, cadastral system, building accessibility register and the previous SoE report. The dataset is made available as Linked Data. The Linked Data generation process includes data acquisition, cleaning, transformation, annotation, publishing, augmentation and interlinking the annotated data as well as quality assessment of the interlinked datasets. The dataset is published under the Norwegian License for Open Government Data (NLOD) and serves as a reference point for applications using data on central government real estates, such as generation of the SoE report, searching properties suitable for asylum reception centres, risk assessment for state-owned buildings or a public building application for visitors. © 2017, Springer International Publishing AG.",Linked Data; Open Government Data; RDF; State-owned real estates,Data acquisition; Data handling; Risk assessment; Semantic Web; Business entities; Central government; Linked datum; Linked open datum; Open Government Data; Quality assessment; Real estate; Reference points; Metadata,"Shi, L.; Statsbygg, Pb. 8106 Dep, Norway; email: ling.shi@statsbygg.no",English,Conference Paper,Final,Scopus
"Huang R., Lai T., Zhou L.",Proposing a framework of barriers to opening government data in China: A critical literature review,2017,Library Hi Tech,15,"School of Information Management, Wuhan University, Wuhan, China","Purpose: This paper reports on a critical literature review, which aimed to identify, understand and qualify barriers that hinder the release of open government data (OGD) in China. Moreover, the purpose of this paper is to develop and propose a theoretical framework, which can be adopted as a basis for empirical investigation in the future, and to articulate mitigating strategies. Design/methodology/approach: This study adopted an inductive qualitative approach, retrieving 42 academic articles from three main Chinese academic databases: CNKI, Wanfang and CQVIP. A thematic analysis approach was employed for the literature analysis. Findings: The literature analysis pointed to 15 barriers to the release of OGD in China. Furthermore, the barriers emerged in the following three main themes: institutional barriers, data integrity and quality barriers, and user participation barriers. Originality/value: This paper reports on one of the early research efforts into the problems of releasing OGD in China. Although this study focusses on Chinese context and issues, the findings and lessons learnt can be shared across international borders. © 2017, © Emerald Publishing Limited.",Barriers; Chinese Government; Literature review; Open government; Open government data; Theoretical framework,,"Zhou, L.; School of Information Management, China; email: l.zhou@whu.edu.cn",English,Review,Final,Scopus
"da Silva Craveiro G., Albano C.",Open data intermediaries: coproduction in budget transparency,2017,"Transforming Government: People, Process and Policy",11,"School of Arts, Science and Humanities, University of Sao Paulo, Sao Paulo, Brazil; Federal University of Pampa, Bage, Brazil","Purpose: Although more public sector information is disclosed in an open format, the intermediaries are the key element to have value creation from it. This study aimed to identify elements about the role of these stakeholders: their characteristics, resources and partnerships within an ecosystem of budget transparency and open government data, in particular, to identify initiatives and opportunities that enable the co-production of value from public sector information. Design/methodology/approach: The study was conducted in four Latin American countries, and data collection was carried out through interviews and document analysis. Findings: The paper identifies intermediaries’ profiles, their network, results achieved and lessons learned. Originality/value: This is the first study to cover in depth the intermediaries in a regional budget transparency ecosystem. Some findings emphasize the intermediary’s role, and others offered the authors elements to propose a framework for citizen coproduction that extends citizen sourcing and government as platform models, as some co-production initiatives identified seem to extrapolate their limits definitions. © 2017, © Emerald Publishing Limited.",Budget transparency; Co-production; Intermediaries; Open budget; Open government; Open government data,,"da Silva Craveiro, G.; School of Arts, Brazil; email: giselesc@usp.br",English,Article,Final,Scopus
"Toots M., McBride K., Kalvet T., Krimmer R., Tambouris E., Panopoulou E., Kalampokis E., Tarabanis K.",A framework for data-driven public service co-production,2017,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),8,"Tallinn University of Technology, Tallinn, Estonia; University of Macedonia, Thessaloniki, Greece","Governments are creating and maintaining increasing amounts of data, and, recently, releasing data as open government data. As the amount of data available increases, so too should the exploitation of this data. However, this potential currently seems to be unexploited. Since exploiting open government data has the potential to create new public value, the absence of this exploitation is something that should be explored. It is therefore timely to investigate how the potential of existing datasets could be unleashed to provide services that create public value. For this purpose, we conducted a literature study and an empirical survey of the relevant drivers, barriers and gaps. Based on the results, we propose a framework that addresses some of the key challenges and puts forward an agile co-production process to support effective data-driven service creation. The proposed framework incorporates elements from agile development, lean startups, co-creation, and open government data literature and aims to increase our understanding on how open government data may be able to drive public service co-creation. © 2017, IFIP International Federation for Information Processing.",Agile development; Co-creation; Co-production; Open data; Public services,Government data processing; Agile development; Co-creation; Co-production; Open datum; Public services; Digital storage,"Toots, M.; Tallinn University of TechnologyEstonia; email: maarja.toots@ttu.ee",English,Conference Paper,Final,Scopus
Traunmüller R.,Digitalization as challenge for electronic government,2017,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),1,"Johannes Kepler Universität Linz, Altenbergerstrasse 69, Linz, 4040, Austria","Digitalization is a megatrend that conveys key challenges for e-Government and touches several hot topics. Knowledge is the fundamental bridge bringing together diverse extensions. Important developments include: Administrative Work, Collaborative Platforms, Open Government Data, e-Participation, Mobile Government etc. © Springer International Publishing AG 2017.",Digital government; Digitalization; Electronic government; Knowledge management,Information systems; Knowledge management; Collaborative platform; Digital government; Digitalization; E-governments; E-participation; Electronic government; Hot topics; Mobile governments; Government data processing,"Traunmüller, R.; Johannes Kepler Universität Linz, Altenbergerstrasse 69, Austria; email: traunm@ifs.uni-linz.ac.at",English,Conference Paper,Final,Scopus
"Fitriani W.R., Sandhyaduhita P.I., Hidayanto A.N., Purwandari B.",Determinants of intention to use open data website: An insight from Indonesia,2017,"Proceedings ot the 21st Pacific Asia Conference on Information Systems: ''Societal Transformation Through IS/IT'', PACIS 2017",6,"Faculty of Computer Science, Universitas Indonesia, Indonesia","Open data is a flagship initiative in open government program to increase transparency, social and commercial value, and participatory governance. Open data is a relatively new field and the factors affecting its adoption by citizen has not been widely studied. A better understanding of these factors can help government to formulate policies and strategies that can improve the acceptance and use of open data website. The research model is based on the Theory of Planned Behavior and integrated with the technology quality and trust factors. Data collection was conducted using questionnaire. Structural Equation Modeling (SEM) was used to test the research model. The results show that attitude, subjective norm, perceived behavioral control and trust directly affect intention to use open data website. Systems quality affects perceived usefulness, while information quality positively affects perceived usefulness, perceived ease of use, and trust. Both perceived usefulness and perceived ease of use affect user’s attitude. The analysis of this study suggests that each influencing factor provide implications for government to stimulate the use of open data website. © PACIS 2017.",Intention to use; Open data; Open data website; Open government data; Theory of Planned Behavior; Use,Information systems; Information use; Websites; Information quality; Intention to use; Perceived behavioral control; Perceived ease of use; Perceived usefulness; Structural equation modeling; Systems quality; Theory of Planned Behavior; Open Data,,English,Conference Paper,Final,Scopus
"Katsikas S.K., Gritzalis S.","Digitalization in Greece: State of play, barriers, challenges, solutions",2017,Public Administration and Information Technology,3,"Center for Cyber and Information Security, Norwegian University of Science and Technology, Gjøvik, Norway; Department of Digital Systems, University of Piraeus, Piraeus, Greece; Department of Information and Communication Systems Engineering, University of the Aegean, Samos, Greece","Digitalization refers to the adoption or increase in use of digital or computer technology by an organization, industry, country, etc. Several sources of information exist that allow the determination of the state of play as regards digitalization in Greece; Greece performs poorly in all these measurement frameworks. Greece’s strengths in relation to its ability to progress substantially with digitalization lie in its human capital; the broadband penetration and usage; and the research and development output. In contrast, its most important weaknesses are the lack of importance of ICT in the political vision and government agenda; the success of the government in pushing forward the use of ICT; the effectiveness of the judicial system in resolving business conflicts and in resolving regulation disputes; and the ineffectiveness of the public administration. In this chapter, we identify the reasons for this poor performance and attribute them to intrinsic characteristics of the political landscape in Greece, with a view toward formulating proposals for solving inherent, long-lasting problems. © Springer International Publishing AG 2017.",Digitalization strategy; Greek government; Ministerial council; Open government data; Public administration,,"Katsikas, S.K.; Center for Cyber and Information Security, Norway; email: sokratis.katsikas@ntnu.no",English,Book Chapter,Final,Scopus
"Schlachter T., Braun E., Düpmeier C., Schmitt C., Schillinger W.",A generic web cache infrastructure for the provision of multifarious environmental data,2017,IFIP Advances in Information and Communication Technology,,"Karlsruhe Institute of Technology, Karlsruhe, Germany; Baden-Wuerttemberg State Institute for Environment, Measurements, and Nature Conservation, Karlsruhe, Germany","As a basis for the efficient data supply for web portals, web-based and mobile applications of several German environmental authorities, a microservice-based infrastructure is being used. It consists of a generic data model and a series of corresponding generic services, e.g. for the provision of master data, metrics, spatial data, digital assets, metadata, and links between them. The main objectives are the efficient provision of data as well as the use of the same data by a wide range of applications. In addition, the used technologies and services should enable data supplyasopen (government) data or as linked data in the sense of the Semantic Web. In a first version, these services are used exclusively for read access to the data. For this purpose, the data are usually extracted from their original systems, possibly processed and then stored redundantly in powerful backend systems (“Web Cache”). Generic microservices provide uniform REST interfaces to access the data. Each service can use different backend systems connected via adapters. In this way, consuming components such as frontend modules in a Web portal can transparently access various backend systems via stable interfaces, which can therefore be selected optimally for each application. A number of tools and workflows ensure the updating and consistency of the data in the Web Cache. Microservices and backend systems are operated on the basis of container virtualization using flexible cloud infrastructures. © IFIP International Federation for Information Processing 2017 Published by Springer International Publishing AG 2017. All rights reserved.",Cloud computing; Container-based virtualization; Environmental information systems; Generic data model; Linked data; Master data; Microservices; Mobile apps; Open government data; REST; Schema; Semantic web; Semantics; Spatial data; Time series; Web portals,Cloud computing; Computer software; Containers; Data handling; Distributed computer systems; Linked data; Semantic Web; Semantics; Time series; Virtual reality; Virtualization; Environmental information systems; Generic data; Master datum; Microservices; Mobile apps; Open government data; REST; Schema; Spatial data; Portals,"Schlachter, T.; Karlsruhe Institute of TechnologyGermany; email: thorsten.schlachter@kit.edu",English,Conference Paper,Final,Scopus
Hennig S.,Assessment of nuts and lau open spatial data - Illustrated by the example of the balkan green belt,2017,Journal of Environmental Protection and Ecology,,"Interfaculty Department of Geoinformatrics-Z-GIS, University of Salzburg, 30 Schiller Street, Salzburg, 5020, Austria","Environmental protection and in particular protected area management, today, ask for stakeholder involvement, building up networks, and transnational cooperation. To perform these tasks, knowledge on the administrative units to which a protected area belongs or to which it is adjacent to is an important aspect. Acquiring this information is especially challenging if protected areas bordering other countries. An approach providing information on administrative units across Europe in a standardised and hierarchical manner is the NUTS (Nomenclature of territorial units for statistics) and LAU (Local administrative units) system. However, the NUTS and LAU system generally only refers to attribute data providing administrative unit identifier codes and names. NUTS and LAU spatial data can not to be accessed so easy. Here, open data might be an alternative to purchased data. But, which possibilities exist to access open NUTS and LAU spatial data? Which challenges are related to the use of open data sources? This is illustrated by the example of the Balkan Green Belt as part of the European Green Belt. Examination of open data sources holding NUTS and LAU spatial data (e.g. EUROSTAT, national geoportals, Open Street Map, GADM) identified the following challenges in using this data: lack of metadata, no English version available (website, datasets), and the need for extensive data preprocessing.",Administrative units; Modern protected area management; Open government data; Open spatial data; Volunteered geographic information VGI,conservation management; data processing; data set; environmental protection; GIS; greenbelt; Internet; nomenclature; protected area; spatial data; stakeholder; Balkan; Europe; Turkmenistan,"Hennig, S.; Interfaculty Department of Geoinformatrics-Z-GIS, 30 Schiller Street, Austria; email: sabine.hennig@sbg.ac.at",English,Article,Final,Scopus
"Ali-Eldin A.M.T., Zuiderwijk A., Janssen M.",Opening more data a new privacy risk scoring model for open data,2017,BMSD 2017 - Proceedings of the 7th International Symposium on Business Modeling and Software Design,5,"Leiden Institute of Advanced Computer Science, Leiden University, Leiden, Netherlands; TBM, Delft University of Technology, Jaffalaan 5, Delft, 2628 BX, Netherlands; Computer and Control Systems Dept., Faculty of Engineering, Mansoura University, Mansoura, Egypt","While the opening of data has become a common practice for both governments and companies, many datasets are still not published since they might violate privacy regulations. The risk on privacy violations is a factor that often blocks the publication of data and results in a reserved attitude of governments and companies. Additionally, even published data, which might seem privacy compliant, can violate user privacy due to the leakage of real user identities. This paper proposes a privacy risk scoring model for open data architectures to analyse and reduce the risks associated with the opening of data. The key elements consist of a new set of open data attributes reflecting privacy risks versus benefits trades-offs. Further, these attributes are evaluated using a decision engine and a scoring matrix intro a privacy risk indicator (PRI) and a privacy risk mitigation measure (PRMM). Privacy Risk Indicator (PRI) represents the predicted value of privacy risks associated with opening such data and privacy risk mitigation measures represent the measurements need to be applied on the data to avoid the expected privacy risks. The model is exemplified through five real use cases concerning open datasets.",Data mining; Data release; Open data; Open government data; Privacy; Risk; Scoring systems,Data mining; Data privacy; Public policy; Risk assessment; Risks; Software design; Systems engineering; Data architectures; Data release; Decision engines; Open government data; Privacy regulation; Privacy violation; Scoring matrices; Scoring systems; Open Data,,English,Conference Paper,Final,Scopus
"Fraefel M., Haller S., Gschwend A.",Big data in the public sector. linking cities to sensors,2017,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2,"Bern University of Applied Sciences, Bern, Switzerland","In the public sector, big data holds many promises for improving policy outcomes in terms of service delivery and decision-making and is starting to gain increased attention by governments. Cities are collecting large amounts of data from traditional sources such as registries and surveys and from non-traditional sources such as the Internet of Things, and are considered an important field of experimentation to generate public value with big data. The establishment of a city data infrastructure can drive such a development. This paper describes two key challenges for such an infrastructure: platform federation and data quality, and how these challenges are addressed in the ongoing research project CPaaS.io. © 2017, IFIP International Federation for Information Processing.",Big data; Data quality; Internet of things; Linked data; Open government data; Platform federation; Public sector; Smart city,Decision making; Digital storage; Government data processing; Internet of things; Smart city; Data quality; Linked datum; Open government data; Platform federation; Public sector; Big data,"Fraefel, M.; Bern University of Applied SciencesSwitzerland; email: marianne.fraefel@bfh.ch",English,Conference Paper,Final,Scopus
"Kalampokis E., Tarabanis K., Stasis A., Chaniotaki E., Tambouris E.",Exploiting Linked Statistical Data in Public Administration: The Case of the Greek Ministry of Administrative Reconstruction,2017,AMCIS 2017 - America's Conference on Information Systems: A Tradition of Innovation,2,"University of Macedonia, CERTH/ITI, Greece; Ministry of Administrative Reconstruction, Greece; Athens University of Economics and Business, Greece","Opening Government Data is a political priority in many countries. A large part of open data is numerical and concerns statistics thus can be easily processed and visualized. At the technical level, statistical data can be represented using linked open technologies. The resulting Linked Open Statistical Data (LOSD) enables developing data-driven services that require automatic data processing. However, in many cases public agencies confront organizational, structural and cultural challenges when adopting novel technologies. The aim of this paper is to investigate the challenges faced by a ministry that is traditionally organized when exploiting LOSD. The preliminary results suggest that major challenges include the absence of a favorable culture and skills mainly related to data governance and software development. Therefore, essential ingredients seem to be missing to create a fertile ground for the use and exploitation of LOSD technology. © 2017 AIS/ICIS Administrative Office. All Rights Reserved.",Data-Driven Services; Linked Open Statistical Data; Open Government Data; Public Administration; Traditional Bureaucratic Model,Information systems; Information use; Public administration; Software design; Statistics; Automatic data processing; Data driven; Data governances; Open Government Data; Open technology; Political priorities; Statistical datas; Technical levels; Data handling,,English,Conference Paper,Final,Scopus
"Mora-Rodriguez M., Atemezing G.A., Preist C.",Adopting semantic technologies for effective corporate transparency,2017,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2,"System Centre, University of Bristol, Bristol, United Kingdom; Mondeca S.A, 35 boulevard de Strasbourg, Paris, France","A new transparency model with more and better corporate data is necessary to promote sustainable economic growth. In particular, there is a need to link factors regarding non-financial performance of corporations - such as social and environmental impacts, both positive and negative - into decision-making processes of investors and other stake-holders. To do this, we need to develop better ways to access and analyse corporate social, environmental and financial performance information, and to link together insights from these different sources. Such sources are already on the web in non-structured and structured data formats, a big part of them in XBRL (Extensible Business Reporting Language). This study is about promoting solutions to drive effective transparency for a sustainable economy, given the current adoption of XBRL, and the new opportunities that Linked Data can offer. We present (1) a methodology to formalise XBRL as RDF using Linked data principles and (2) demonstrate its usefulness through a use case connecting and making the data accessible. © Springer International Publishing AG 2017.",Interoperability; Linked data; Open government data; Transparency; XBRL,Administrative data processing; Data handling; Decision making; Digital storage; Economics; Environmental impact; Interoperability; Sustainable development; Transparency; Decision making process; Linked Data principles; Linked datum; Open government data; Semantic technologies; Social and environmental impact; Sustainable economic growth; XBRL; Semantic Web,"Mora-Rodriguez, M.; System Centre, United Kingdom; email: maria.mora@bristol.ac.uk",English,Conference Paper,Final,Scopus
